n,density,representation,trial,time_s
80,0.1,list,7,0.000064400
80,0.1,matrix,7,0.000184800
80,0.1,list,8,0.000069400
80,0.1,matrix,8,0.000199600
80,0.1,list,9,0.000069400
80,0.1,matrix,9,0.000207900
80,0.1,list,10,0.000069700
80,0.1,matrix,10,0.000204300
80,0.1,list,11,0.000070700
80,0.1,matrix,11,0.000213600
80,0.1,list,12,0.000071500
80,0.1,matrix,12,0.000218900
80,0.1,list,13,0.000071000
80,0.1,matrix,13,0.000208800
80,0.1,list,14,0.000072400
80,0.1,matrix,14,0.000192500
80,0.1,list,15,0.000062200
80,0.1,matrix,15,0.000247300
80,0.1,list,16,0.000113300
80,0.1,matrix,16,0.000212000
80,0.1,list,17,0.000081700
80,0.1,matrix,17,0.000183100
80,0.1,list,18,0.000073300
80,0.1,matrix,18,0.000411200
80,0.1,list,19,0.000110900
80,0.1,matrix,19,0.000282500
80,0.1,list,20,0.000072100
80,0.1,matrix,20,0.000210300
80,0.2,list,1,0.000146400
80,0.2,matrix,1,0.000361600
80,0.2,list,2,0.000131000
80,0.2,matrix,2,0.000234300
80,0.2,list,3,0.000163400
80,0.2,matrix,3,0.000216400
80,0.2,list,4,0.000181100
80,0.2,matrix,4,0.000318800
80,0.2,list,5,0.000197400
80,0.2,matrix,5,0.000358600
80,0.2,list,6,0.000242000
80,0.2,matrix,6,0.000340900
80,0.2,list,7,0.000113900
80,0.2,matrix,7,0.000714200
80,0.2,list,8,0.000106600
80,0.2,matrix,8,0.000220600
80,0.2,list,9,0.000118000
80,0.2,matrix,9,0.000211300
80,0.2,list,10,0.000112500
80,0.2,matrix,10,0.000334300
80,0.2,list,11,0.000111800
80,0.2,matrix,11,0.000223100
80,0.2,list,12,0.000111100
80,0.2,matrix,12,0.000218900
80,0.2,list,13,0.000153500
80,0.2,matrix,13,0.000373500
80,0.2,list,14,0.000206200
80,0.2,matrix,14,0.000305100
80,0.2,list,15,0.000208600
80,0.2,matrix,15,0.000311900
80,0.2,list,16,0.000125300
80,0.2,matrix,16,0.000227300
80,0.2,list,17,0.000118000
80,0.2,matrix,17,0.000215400
80,0.2,list,18,0.000112700
80,0.2,matrix,18,0.000210400
80,0.2,list,19,0.000113400
80,0.2,matrix,19,0.000211200
80,0.2,list,20,0.000109400
80,0.2,matrix,20,0.000217600
80,0.5,list,1,0.000231500
80,0.5,matrix,1,0.000260600
80,0.5,list,2,0.000222800
80,0.5,matrix,2,0.000265500
80,0.5,list,3,0.000311900
80,0.5,matrix,3,0.000263600
80,0.5,list,4,0.000296000
80,0.5,matrix,4,0.000303800
80,0.5,list,5,0.000394800
80,0.5,matrix,5,0.000302400
80,0.5,list,6,0.000238800
80,0.5,matrix,6,0.000261600
80,0.5,list,7,0.000230800
80,0.5,matrix,7,0.000253000
80,0.5,list,8,0.000279200
80,0.5,matrix,8,0.000276900
80,0.5,list,9,0.000467300
80,0.5,matrix,9,0.000249300
80,0.5,list,10,0.000237200
80,0.5,matrix,10,0.000545000
80,0.5,list,11,0.000318700
80,0.5,matrix,11,0.000263500
80,0.5,list,12,0.000234100
80,0.5,matrix,12,0.000260300
80,0.5,list,13,0.000225600
80,0.5,matrix,13,0.000254300
80,0.5,list,14,0.000358400
80,0.5,matrix,14,0.000406300
80,0.5,list,15,0.000723500
80,0.5,matrix,15,0.000525500
80,0.5,list,16,0.000678800
80,0.5,matrix,16,0.001080800
80,0.5,list,17,0.000485900
80,0.5,matrix,17,0.000289300
80,0.5,list,18,0.000232700
80,0.5,matrix,18,0.000512600
80,0.5,list,19,0.000448800
80,0.5,matrix,19,0.000423200
80,0.5,list,20,0.000249600
80,0.5,matrix,20,0.000261800
100,0.01,list,1,0.000063900
100,0.01,matrix,1,0.000564700
100,0.01,list,2,0.000067400
100,0.01,matrix,2,0.000824200
100,0.01,list,3,0.000069100
100,0.01,matrix,3,0.000834000
100,0.01,list,4,0.000060200
100,0.01,matrix,4,0.000637700
100,0.01,list,5,0.000073200
100,0.01,matrix,5,0.000607700
100,0.01,list,6,0.000058700
100,0.01,matrix,6,0.000476500
100,0.01,list,7,0.000124800
100,0.01,matrix,7,0.001010900
100,0.01,list,8,0.000190800
100,0.01,matrix,8,0.000501200
100,0.01,list,9,0.000060800
100,0.01,matrix,9,0.000593000
100,0.01,list,10,0.000064000
100,0.01,matrix,10,0.000518500
